address;source_location;insn;indent
0x2d20;:0;CMPB	$0,%FS:-0x1390;  (4) 
0x2db7;:0;JP	2dbb <main._omp_fn.0+0x1db>;  (5) 
0x2db9;:0;JE	2d60 <main._omp_fn.0+0x180>;  (5) 
0x2dbb;:0;VMOVSD	%XMM3,%XMM3,%XMM0;
0x2dbf;:0;VMOVSD	%XMM1,0x18(%RSP);
0x2dc5;:0;VMOVSD	%XMM2,0x10(%RSP);
0x2dcb;:0;VMOVSD	%XMM3,(%RSP);
0x2dd0;:0;CALL	2300 <.plt.sec@start+0xb0>;
0x2dd5;:0;VMULSD	0x1343(%RIP),%XMM0,%XMM0;
0x2ddd;:0;VMOVSD	(%RSP),%XMM3;
0x2de2;:0;VMOVSD	0x10(%RSP),%XMM2;
0x2de8;:0;VMOVSD	0x18(%RSP),%XMM1;
0x2dee;:0;VDIVSD	%XMM3,%XMM0,%XMM0;
0x2df2;:0;VXORPD	%XMM3,%XMM3,%XMM3;
0x2df6;:0;VUCOMISD	%XMM0,%XMM3;
0x2dfa;:0;JA	30f2 <main._omp_fn.0+0x512>;
0x2e00;:0;VSQRTSD	%XMM0,%XMM0,%XMM0;
0x2e04;:0;VMULSD	%XMM0,%XMM2,%XMM2;
0x2e08;:0;VMULSD	%XMM0,%XMM1,%XMM1;
0x2e0c;:0;MOVB	$0x1,0x34a5(%RIP);
0x2e13;:0;VMOVSD	%XMM2,0x3495(%RIP);
0x2e1b;:0;VMOVQ	%R14,%XMM4;  (4) 
0x2e20;:0;VMOVQ	%R15,%XMM5;  (4) 
0x2e25;:0;VFMADD132SD	%XMM1,%XMM5,%XMM4;  (4) 
0x2e2a;:0;VCOMISD	0x8(%RSP),%XMM4;  (4) 
0x2e30;:0;JA	2f64 <main._omp_fn.0+0x384>;  (4) 
0x2e36;:0;INC	%RBX;  (4) 
0x2e39;:0;CMP	%RBX,%R12;  (4) 
0x2e3c;:0;JNE	2d20 <main._omp_fn.0+0x140>;  (4) 
0x2f50;:0;VMOVSD	0x3358(%RIP),%XMM1;  (4) 
0x2f58;:0;MOVB	$0,0x3359(%RIP);  (4) 
0x2f5f;:0;JMP	2e1b <main._omp_fn.0+0x23b>;  (4) 
0x2f64;:0;VMULSD	0x38(%RSP),%XMM4,%XMM0;  (4) 
0x2f6a;:0;CALL	2420 <.plt.sec@start+0x1d0>;  (4) 
0x2f6f;:0;VMOVSD	0x28(%RSP),%XMM5;  (4) 
0x2f75;:0;VFMADD132SD	0x30(%RSP),%XMM5,%XMM0;  (4) 
0x2f7c;:0;VADDSD	0x20(%RSP),%XMM0,%XMM7;  (4) 
0x2f82;:0;VMOVSD	%XMM7,0x20(%RSP);  (4) 
0x2f88;:0;JMP	2e36 <main._omp_fn.0+0x256>;  (4) 
0x2f8d;:0;LEA	0x50(%RSP),%R14;  (4) 
0x2f92;:0;LEA	0x10a8(%RIP),%RDX;  (4) 
0x2f99;:0;LEA	0x60(%RSP),%R15;  (4) 
0x2f9e;:0;LEA	0x70(%RSP),%RBP;  (4) 
0x2fa3;:0;LEA	-0x7(%RDX),%RSI;  (4) 
0x2fa7;:0;MOV	%R14,%RDI;  (4) 
0x2faa;:0;MOV	%R15,0x50(%RSP);  (4) 
0x2faf;:0;CALL	2990 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPKcEEvT_S8_St20forward_iterator_tag.isra.0>;  (4) 
0x2fb4;:0;MOV	%R14,%RSI;  (4) 
0x2fb7;:0;MOV	%RBP,%RDI;  (4) 
0x2fba;:0;CALL	2400 <.plt.sec@start+0x1b0>;  (4) 
0x2fbf;:0;MOV	0x50(%RSP),%RDI;  (4) 
0x2fc4;:0;CMP	%R15,%RDI;  (4) 
0x2fc7;:0;JE	2fd7 <main._omp_fn.0+0x3f7>;  (4) 
0x2fc9;:0;MOV	0x60(%RSP),%RAX;  (4) 
0x2fce;:0;LEA	0x1(%RAX),%RSI;  (4) 
0x2fd2;:0;CALL	2340 <.plt.sec@start+0xf0>;  (4) 
0x2fd7;:0;MOV	%RBP,%RDI;  (4) 
0x2fda;:0;CALL	23a0 <.plt.sec@start+0x150>;  (4) 
0x2fdf;:0;MOV	%FS:,%RSI;  (4) 
0x2fe8;:0;MOV	$0x1,%EDX;  (4) 
0x2fed;:0;MOV	%EAX,%ECX;  (4) 
0x2fef;:0;MOV	%RCX,%FS:-0x1388;  (4) 
0x2ff8;:0;NOPL	(%RAX,%RAX,1);  (4) 
0x3000;:0;MOV	%RCX,%RAX;    (3) 
0x3003;:0;SHR	$0x1e,%RAX;    (3) 
0x3007;:0;XOR	%RCX,%RAX;    (3) 
0x300a;:0;IMUL	$0x6c078965,%RAX,%RAX;    (3) 
0x3011;:0;LEA	(%RDX,%RAX,1),%ECX;    (3) 
0x3014;:0;MOV	%RCX,-0x1388(%RSI,%RDX,8);    (3) 
0x301c;:0;INC	%RDX;    (3) 
0x301f;:0;CMP	$0x270,%RDX;    (3) 
0x3026;:0;JNE	3000 <main._omp_fn.0+0x420>;    (3) 
0x3028;:0;MOV	%RBP,%RDI;  (4) 
0x302b;:0;MOVQ	$0x270,%FS:-0x8;  (4) 
0x3038;:0;MOVB	$0x1,%FS:-0x1390;  (4) 
0x3041;:0;CALL	2320 <.plt.sec@start+0xd0>;  (4) 
0x3046;:0;JMP	2d2f <main._omp_fn.0+0x14f>;  (4) 
