address;source_location;insn;indent
0x401a88;:0;SUB	SP, SP, #2416;
0x401b3c;:0;LDR	D11, [X1, #8];    (8) 
0x401b40;:0;TBZ	W0, #0, 401ba4 <main._omp_fn.0+0x11c>;    (8) 
0x401b44;:0;STRB	WZR, [X1, #24];    (8) 
0x401b48;:0;LDR	D0, [X1, #16];    (8) 
0x401b4c;:0;FMADD	D0, D0, D11, D12;    (8) 
0x401b50;:0;FCMPE	D13, D0;    (8) 
0x401b54;:0;B.MI	401c4c <main._omp_fn.0+0x1c4>;    (8) 
0x401b58;:0;ADD	X20, X20, #1;    (8) 
0x401b5c;:0;CMP	X21, X20;    (8) 
0x401b60;:0;B.EQ	401c78 <main._omp_fn.0+0x1f0>;    (8) 
0x401b64;:0;ADD	X0, X19, #0;    (8) 
0x401b68;:0;ADD	X0, X0, #16;    (8) 
0x401b6c;:0;LDR	X0, [X0];    (8) 
0x401b70;:0;TBZ	W0, #0, 401ce4 <main._omp_fn.0+0x25c>;    (8) 
0x401b74;:0;ADD	X0, X19, #0;    (8) 
0x401b78;:0;ADD	X0, X0, #16;    (8) 
0x401b7c;:0;LDR	X1, [X0, #8];    (8) 
0x401b80;:0;TBNZ	W1, #0, 401b30 <main._omp_fn.0+0xa8>;    (8) 
0x401b84;:0;FMOV	D0, #1.0000000;    (8) 
0x401b88;:0;MOVI	D12, #0;    (8) 
0x401b8c;:0;MOVZ	X2, #1;    (8) 
0x401b90;:0;STRB	WZR, [X0, #40];    (8) 
0x401b94;:0;STR	X2, [X0, #8];    (8) 
0x401b98;:0;FMOV	D11, D0;    (8) 
0x401b9c;:0;STP	D12, D0, [X0, #16];    (8) 
0x401ba0;:0;STR	D12, [X0, #32];    (8) 
0x401ba4;:0;FMOV	D9, #2.0000000;    (8) 
0x401ba8;:0;FMOV	D8, #-1.0000000;    (8) 
0x401bac;:0;ADD	X27, X19, #0;    (8) 
0x401bb0;:0;ADD	X27, X27, #64;    (8) 
0x401bb4;:0;FMOV	D10, #1.0000000;    (8) 
0x401bb8;:0;HINT	#0;    (8) 
0x401bbc;:0;HINT	#0;    (8) 
0x401bc0;:0;ORR	X0, XZR, X27;      (6) 
0x401bc4;:0;BL	402040 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;      (6) 
0x401bc8;:0;FMADD	D14, D0, D9, D8;      (6) 
0x401bcc;:0;ORR	X0, XZR, X27;      (6) 
0x401bd0;:0;BL	402040 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_>;      (6) 
0x401bd4;:0;FMADD	D15, D0, D9, D8;      (6) 
0x401bd8;:0;FMUL	D3, D15, D15;      (6) 
0x401bdc;:0;FMADD	D3, D14, D14, D3;      (6) 
0x401be0;:0;FCMPE	D3, D10;      (6) 
0x401be4;:0;B.GT	401bc0 <main._omp_fn.0+0x138>;      (6) 
0x401be8;:0;FCMP	D3, #0;      (6) 
0x401bec;:0;B.EQ	401bc0 <main._omp_fn.0+0x138>;      (6) 
0x401bf0;:0;FMOV	D0, D3;    (8) 
0x401bf4;:0;STR	D3, [SP, #168];    (8) 
0x401bf8;:0;BL	401440 <@plt_start@+0x200>;    (8) 
0x401bfc;:0;FMOV	D4, #-2.0000000;    (8) 
0x401c00;:0;LDR	D3, [SP, #168];    (8) 
0x401c04;:0;FMUL	D0, D0, D4;    (8) 
0x401c08;:0;FDIV	D0, D0, D3;    (8) 
0x401c0c;:0;FCMP	D0, #0;    (8) 
0x401c10;:0;B.PL	401c28 <main._omp_fn.0+0x1a0>;    (8) 
0x401c14;:0;BL	401400 <@plt_start@+0x1c0>;    (8) 
0x401c18;:0;B	401c2c <main._omp_fn.0+0x1a4>;    (8) 
0x401c1c;:0;LDP	X23, X24, [SP, #48];
0x401c20;:0;STR	XZR, [SP, #176];
0x401c24;:0;B	401c98 <main._omp_fn.0+0x210>;
0x401c28;:0;FSQRT	D0, D0;    (8) 
0x401c2c;:0;FMUL	D2, D14, D0;    (8) 
0x401c30;:0;ADD	X0, X19, #0;    (8) 
0x401c34;:0;ADD	X0, X0, #16;    (8) 
0x401c38;:0;MOVZ	W1, #1;    (8) 
0x401c3c;:0;FMUL	D0, D15, D0;    (8) 
0x401c40;:0;STRB	W1, [X0, #40];    (8) 
0x401c44;:0;STR	D2, [X0, #32];    (8) 
0x401c48;:0;B	401b4c <main._omp_fn.0+0xc4>;    (8) 
0x401c4c;:0;LDR	D1, [SP, #200];    (8) 
0x401c50;:0;ADD	X20, X20, #1;    (8) 
0x401c54;:0;FMUL	D0, D1, D0;    (8) 
0x401c58;:0;BL	4013e0 <@plt_start@+0x1a0>;    (8) 
0x401c5c;:0;LDP	D1, D2, [SP, #184];    (8) 
0x401c60;:0;FMADD	D0, D2, D0, D1;    (8) 
0x401c64;:0;LDR	D1, [SP, #176];    (8) 
0x401c68;:0;FADD	D0, D1, D0;    (8) 
0x401c6c;:0;STR	D0, [SP, #176];    (8) 
0x401c70;:0;CMP	X21, X20;    (8) 
0x401c74;:0;B.NE	401b64 <main._omp_fn.0+0xdc>;    (8) 
0x401c78;:0;ADD	X24, X24, #1;    (8) 
0x401c7c;:0;CMP	X26, X24;    (8) 
0x401c80;:0;B.HI	401b20 <main._omp_fn.0+0x98>;    (8) 
0x401c84;:0;LDP	D8, D9, [SP, #96];(9) 
0x401c88;:0;LDP	X23, X24, [SP, #48];(9) 
0x401c8c;:0;LDP	D10, D11, [SP, #112];(9) 
0x401c90;:0;LDP	D14, D15, [SP, #144];(9) 
0x401c94;:0;LDR	X27, [SP, #80];(9) 
0x401c98;:0;ADD	X25, X25, #48;(9) 
0x401c9c;:0;LDR	X19, [X25];(9) 
0x401ca0;:0;FMOV	D1, X19;  (4) 
0x401ca4;:0;ORR	X2, XZR, X25;  (4) 
0x401ca8;:0;ORR	X0, XZR, X19;  (4) 
0x401cac;:0;LDR	D0, [SP, #176];  (4) 
0x401cb0;:0;FADD	D0, D0, D1;  (4) 
0x401cb4;:0;FMOV	X1, D0;  (4) 
0x401cb8;:0;BL	402130 <__aarch64_cas8_relax>;  (4) 
0x401cbc;:0;CMP	X19, X0;  (4) 
0x401cc0;:0;B.NE	401d88 <main._omp_fn.0+0x300>;  (4) 
0x401cc4;:0;LDP	X29, X30, [SP];(9) 
0x401cc8;:0;LDP	X19, X20, [SP, #16];(9) 
0x401ccc;:0;LDP	X21, X22, [SP, #32];(9) 
0x401cd0;:0;LDP	X25, X26, [SP, #64];(9) 
0x401cd4;:0;LDP	D12, D13, [SP, #128];(9) 
0x401cd8;:0;ADD	SP, SP, #2416;(9) 
0x401cdc;:0;ADD	SP, SP, #19;(9) 
0x401ce0;:0;RET;(9) 
0x401ce4;:0;ADRP	X2, <402ce4>;  (7) 
0x401ce8;:0;ORR	X1, XZR, X23;  (7) 
0x401cec;:0;STR	X22, [SP, #208];  (7) 
0x401cf0;:0;ADD	X0, SP, #208;  (7) 
0x401cf4;:0;ADD	X2, X2, #759;  (7) 
0x401cf8;:0;BL	401840 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPKcEEvT_S8_St20forward_iterator_tag.isra.0>;  (7) 
0x401cfc;:0;ADD	X1, SP, #208;  (7) 
0x401d00;:0;ADD	X0, SP, #240;  (7) 
0x401d04;:0;BL	401430 <@plt_start@+0x1f0>;  (7) 
0x401d08;:0;LDR	X0, [SP, #208];  (7) 
0x401d0c;:0;CMP	X0, X22;  (7) 
0x401d10;:0;B.EQ	401d20 <main._omp_fn.0+0x298>;  (7) 
0x401d14;:0;LDR	X1, [SP, #224];  (7) 
0x401d18;:0;ADD	X1, X1, #1;  (7) 
0x401d1c;:0;BL	4012a0 <@plt_start@+0x60>;  (7) 
0x401d20;:0;ADD	X0, SP, #240;  (7) 
0x401d24;:0;BL	4012d0 <@plt_start@+0x90>;  (7) 
0x401d28;:0;MOVZ	X3, #35173;  (7) 
0x401d2c;:0;ADD	X2, X19, #0;  (7) 
0x401d30;:0;ADD	X2, X2, #64;  (7) 
0x401d34;:0;ORR	W0, WZR, W0;  (7) 
0x401d38;:0;MOVZ	X1, #1;  (7) 
0x401d3c;:0;MOVK	X3, #27655;  (7) 
0x401d40;:0;STR	X0, [X2];  (7) 
0x401d44;:0;EOR	X0, X0, X0,LSR #30;    (5) 
0x401d48;:0;MADD	W0, W0, W3, W1;    (5) 
0x401d4c;:0;STR	X0, [X2, X1,LSL #3];    (5) 
0x401d50;:0;ADD	X1, X1, #1;    (5) 
0x401d54;:0;CMP	X1, #624;    (5) 
0x401d58;:0;B.NE	401d44 <main._omp_fn.0+0x2bc>;    (5) 
0x401d5c;:0;ADD	X3, X19, #0;  (7) 
0x401d60;:0;ADD	X3, X3, #16;  (7) 
0x401d64;:0;MOVZ	X4, #1;  (7) 
0x401d68;:0;STR	X1, [X2, #4992];  (7) 
0x401d6c;:0;ADD	X0, SP, #240;  (7) 
0x401d70;:0;STR	X4, [X3];  (7) 
0x401d74;:0;BL	4012c0 <@plt_start@+0x80>;  (7) 
0x401d78;:0;B	401b74 <main._omp_fn.0+0xec>;  (7) 
0x401d7c;:0;ADD	X26, X26, #1;
0x401d80;:0;MOVZ	X0, #0;
0x401d84;:0;B	401af0 <main._omp_fn.0+0x68>;
0x401d88;:0;ORR	X19, XZR, X0;  (4) 
0x401d8c;:0;B	401ca0 <main._omp_fn.0+0x218>;  (4) 
0x401d90;:0;ADD	X0, SP, #208;
0x401d94;:0;BL	401420 <@plt_start@+0x1e0>;
0x401d98;:0;BL	401470 <@plt_start@+0x230>;
0x401d9c;:0;HINT	#0;
